#,Node,Module,TestFunction,Result,TimeTaken,ExecutedOn,Syslogs,FCLI,TSSH,DCNT,Description,Devices,KnownIssue,Doc
1,gw1,routing/BGP/test_bgp_4node.py,,,0:01:43,2024-01-07 22:46:13,0,1,0,4,Module Prolog,"V1, V2, V3, V4",,
2,gw1,routing/BGP/test_bgp_4node.py,TestBGPConfed.test_ipv6_confed_route_distribution,Pass,0:00:22,2024-01-07 22:46:29,0,1,0,4,Test case passed,"V1, V2, V3, V4",,
3,gw1,routing/BGP/test_bgp_4node.py,TestBGPConfed.test_ipv6_confed_with_rr,Pass,0:00:47,2024-01-07 22:47:16,0,1,0,4,Test case passed,"V1, V2, V3, V4",,
4,gw1,routing/BGP/test_bgp_4node.py,TestBGPConfed.test_confed_route_distribution_with_rmap,Pass,0:00:39,2024-01-07 22:47:55,0,1,0,4,Test case passed,"V1, V2, V3, V4",,
5,gw1,routing/BGP/test_bgp_4node.py,test_ft_bgp_ibgp_RR_Loop,Pass,0:00:38,2024-01-07 22:48:39,0,1,0,4,Test case passed,"V1, V2, V3, V4",,Verify the functioning of iBGP Route-Reflector cluster loop
6,gw1,routing/BGP/test_bgp_4node.py,test_ft_bgp_ebgp_community_map,Pass,0:04:18,2024-01-07 22:52:56,0,1,0,4,Test case passed,"V1, V2, V3, V4",,Verify the functioning of eBGP communities
7,gw1,routing/BGP/test_bgp_4node.py,,,0:00:35,2024-01-07 22:53:31,0,1,0,4,Module Epilog,"V1, V2, V3, V4",,
8,gw2,routing/VRF/test_vrf.py,,,0:08:18,2024-01-07 23:07:57,0,1,0,2,Module Prolog,"V1, V2",,
9,gw2,routing/VRF/test_vrf.py,test_VrfFun001_06,Fail,0:00:41,2024-01-07 23:08:32,0,1,0,2,STEP 12 FAIL: IPv4 BGP session on VRF-102 did not come up,"V1, V2",,
10,gw2,routing/VRF/test_vrf.py,test_VrfFun_26_27,Pass,0:00:29,2024-01-07 23:09:01,0,1,0,2,Test case passed,"V1, V2",,
11,gw2,routing/VRF/test_vrf.py,test_VrfFun_10_12_14,Fail,0:02:28,2024-01-07 23:11:28,0,1,0,2,"Static route between VRFs failed for VRf-101, VRF-102 and VRF-103. STEP 3 FAIL: IPv4 Ping from Vrf-102-DUT1 to Vrf-102-DUT2 failed after static route configuration. STEP 4 FAIL: IPv6 Ping from Vrf-102-DUT1 to Vrf-102-DUT2 failed after static route configuration. STEP 5 FAIL: IPv4 Ping from Vrf-103-DUT1 to Vrf-103-DUT2 failed after static route configuration. STEP 6 FAIL: IPv6 Ping from Vrf-103-DUT1 to Vrf-103-DUT2 failed after static route configuration","V1, V2",,
12,gw2,routing/VRF/test_vrf.py,test_VrfFun_20_24_25_32_33_44_45,Fail,0:01:02,2024-01-07 23:12:29,0,1,0,2,"Static route between VRFs failed for VRf-101, VRF-102 and VRF-103. STEP 1 FAIL: IPv4 BGP session on VRF-102 did not come up. STEP 2 FAIL: IPv6 BGP session on VRF-102 did not come up. STEP 3 FAIL: IPv4 BGP session on VRF-103 did not come up. STEP 4 FAIL: IPv6 BGP session on VRF-103 did not come up","V1, V2",,
13,gw2,routing/VRF/test_vrf.py,test_VrfFun_05_50,Fail,0:07:26,2024-01-07 23:19:55,0,1,0,2,Save and reload with VRF configuration failed. STEP 1 FAIL: IPv4 BGP session on VRF-102 did not come up. STEP 2 FAIL: IPv6 BGP session on VRF-102 did not come up. STEP 3 FAIL: IPv4 BGP session on VRF-103 did not come up. STEP 4 FAIL: IPv6 BGP session on VRF-103 did not come up. STEP 5 FAIL: IPv4 BGP session on VRF-102 did not come up. STEP 6 FAIL: IPv6 BGP session on VRF-102 did not come up. STEP 7 FAIL: IPv4 BGP session on VRF-103 did not come up. STEP 8 FAIL: IPv6 BGP session on VRF-103 did not come up,"V1, V2",,
14,gw2,routing/VRF/test_vrf.py,,,0:00:24,2024-01-07 23:20:18,0,1,0,2,Module Epilog,"V1, V2",,
15,gw3,routing/VRF/test_vrf_scale.py,,,0:23:01,2024-01-07 23:22:45,0,1,0,2,Module Prolog,"V3, V4",,
16,gw2,routing/BGP/test_bgp.py,,,0:04:16,2024-01-07 23:26:46,0,1,0,2,Module Prolog,"V1, V2",,
17,gw3,routing/VRF/test_vrf_scale.py,test_vrf_scale,Fail,0:07:26,2024-01-07 23:30:05,0,1,0,2,"Command 'show vrf' failed to give prompt, recovered using CTRL+C","V3, V4",,
18,gw2,routing/BGP/test_bgp.py,TestBGPRif.test_ft_bgp_v6_link_local_bgp,Fail,0:04:43,2024-01-07 23:31:24,0,1,0,2,The operation is failed.,"V1, V2",,Verify that BGP peer session is established with v6 link local address
19,gw2,routing/BGP/test_bgp.py,TestBGPRif.test_ft_bgp_clear,Pass,0:00:16,2024-01-07 23:31:39,0,1,0,2,Test case passed,"V1, V2",,
20,gw3,routing/VRF/test_vrf_scale.py,test_vrf_route_leak,Pass,0:02:10,2024-01-07 23:32:15,0,1,0,2,Test case passed,"V3, V4",,
21,gw2,routing/BGP/test_bgp.py,TestBGPRif.test_ft_bgp_peer_traffic_check,Pass,0:03:31,2024-01-07 23:35:10,0,1,0,2,Test case passed,"V1, V2",,
22,gw2,routing/BGP/test_bgp.py,TestBGPRif.test_ft_bgp_graceful_restart_and_aware_routers,Pass,0:00:13,2024-01-07 23:35:22,0,1,0,2,Test case passed,"V1, V2",,
23,gw2,routing/BGP/test_bgp.py,TestBGPRif.test_ft_bgp_ipv4_no_route_aggregation_for_exact_prefix_match,Fail,0:01:41,2024-01-07 23:37:03,0,1,0,2,Test case Failed.,"V1, V2",,
