#,Module,Function,Result,Test Time,Helper Time,CMD Time,TG Time,Wait,TGWait,PROMPT NFOUND,TECH SUPPORT,Description
1,routing/VRF/test_vrf_scale.py,test_vrf_scale,,0:28:10,0:52:26.677,0:01:11.307,0:00:00.000,0:00:30,0:00:00,0,0,Module Configuration
2,routing/VRF/test_vrf_scale.py,test_vrf_scale,Fail,0:07:29,0:00:00.000,0:00:01.299,0:00:00.000,0:00:05,0:00:00,1,0,Command 'show vrf' failed to give prompt  recovered using CTRL+C
3,routing/VRF/test_vrf_scale.py,test_vrf_route_leak,Pass,0:02:07,0:00:00.000,0:00:48.157,0:00:00.000,0:01:00,0:00:10,0,0,Test case passed
4,routing/VRF/test_vrf_scale.py,test_vrf_bgp,Pass,0:09:45,0:00:00.000,0:13:12.209,0:00:00.000,0:00:10,0:00:00,0,0,Test case passed
5,routing/VRF/test_vrf_scale.py,test_vrf_reload,Fail,0:13:39,0:00:00.000,0:00:13.952,0:00:00.000,0:05:35,0:00:00,1,0,Command 'show vrf' failed to give prompt  recovered using CTRL+C
6,routing/test_ip.py,test_l3_v4_route_po_1,,0:01:50,0:01:19.733,0:00:34.753,0:00:00.000,0:00:00,0:00:00,0,0,Module Configuration
7,routing/test_ip.py,test_l3_v4_route_po_1,Pass,0:02:18,0:00:00.000,0:00:08.954,0:00:00.000,0:00:10,0:00:10,0,0,Test case passed
8,routing/test_ip.py,test_ft_ping_v4_v6_vlan,Pass,0:00:09,0:00:00.000,0:00:00.522,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
9,routing/test_ip.py,test_ft_ping_v4_v6_after_ip_change_pc,Pass,0:00:23,0:00:00.000,0:00:09.417,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
10,routing/test_ip.py,test_ft_ip6_static_route_traffic_forward_blackhole,Pass,0:01:31,0:00:00.000,0:00:01.656,0:00:00.000,0:00:00,0:00:20,0,0,Test case passed
11,routing/test_ip.py,test_ft_ip_static_route_traffic_forward,Pass,0:00:58,0:00:00.000,0:00:00.263,0:00:00.000,0:00:00,0:00:10,0,0,Test case passed
12,routing/test_ip.py,test_ft_ip_v4_v6_L2_L3_translation,Pass,0:01:33,0:00:00.000,0:00:30.969,0:00:00.000,0:00:12,0:00:00,0,0,Test case passed
13,routing/test_ip.py,test_ft_verify_interfaces_order,Pass,0:00:32,0:00:00.000,0:00:17.634,0:00:00.000,0:00:00,0:00:00,0,0,Test case passed
14,sanity/test_sanity_l3.py,test_l2_to_l3_port,,0:01:44,0:01:22.131,0:00:39.664,0:00:00.000,0:00:00,0:00:00,0,0,Module Configuration
15,sanity/test_sanity_l3.py,test_l2_to_l3_port,Fail,0:00:55,0:00:00.000,0:00:43.142,0:00:00.000,0:00:00,0:00:00,0,0,Failed to port L2 config to L3 config
