#,Feature,TestCase,Result,ResultType,ExecutedOn,Description,Function,Module,Devices,KnownIssue
1,L3 Scale and Performance,FtRtPerfFn024,Pass,Mapped,2024-01-05 23:24:22,Test case passed,test_vrf_scale,routing/VRF/test_vrf_scale.py,"V3, V4",
2,L3 Scale and Performance,FtRtPerfFn023,Pass,Mapped,2024-01-05 23:24:22,Test case passed,test_vrf_scale,routing/VRF/test_vrf_scale.py,"V3, V4",
3,VRF-Lite,FtOpSoRoVrfFun052,Pass,Mapped,2024-01-05 23:24:22,Test case passed,test_vrf_scale,routing/VRF/test_vrf_scale.py,"V3, V4",
4,VRF-Lite,FtOpSoRoVrfScl057,Pass,Mapped,2024-01-05 23:26:31,Test case passed,test_vrf_route_leak,routing/VRF/test_vrf_scale.py,"V3, V4",
5,VRF-Lite,FtOpSoRoVrfScl056,Pass,Mapped,2024-01-05 23:36:15,Test case passed,test_vrf_bgp,routing/VRF/test_vrf_scale.py,"V3, V4",
6,VRF-Lite,FtOpSoRoVrfScl058,Pass,Mapped,2024-01-05 23:41:08,Test case passed,test_vrf_reload,routing/VRF/test_vrf_scale.py,"V3, V4",
7,sFlow Hardening,FtOpSfFn008,Pass,SubTest,2024-01-06 00:03:47,Successfully verified sFlow sampling functionality.,test_ft_sflow_sampling_v6_sFlow_collector,system/test_sflow.py,"V3, V4",
8,sFlow Hardening,FtOpSfFn004,Fail,SubTest,2024-01-06 00:03:47,sFlow collector failed to receive sflow sample packets with default sampling rate.,test_ft_sflow_sampling_v6_sFlow_collector,system/test_sflow.py,"V3, V4",
9,sFlow Hardening,FtOpSfFn005,Pass,Mapped,2024-01-06 00:04:22,Successfully verified sFlow sampling functionality.,test_ft_sflow_max_sflow_collector_config,system/test_sflow.py,"V3, V4",
10,sFlow Hardening,FtOpSfFn017,Pass,Mapped,2024-01-06 00:10:03,Test case passed,test_ft_system_config_mgmt_verifying_config_with_save_reboot_sflow,system/test_sflow.py,"V3, V4",
11,Regression,FtOtSoRtBgpPlFn025,Pass,Mapped,2024-01-06 00:21:31,Test case passed,TestBGPRrTraffic.test_ft_bgp6_rr_traffic_check,routing/BGP/test_bgp_rr_traffic.py,"V3, V4",
