2024-01-03 23:02:04,315 T0006: [D2-V2] ['export TMOUT=0', 'stty cols 5000', 'uptime']
2024-01-03 23:02:04,339 T0005: [D1-V1] ['export TMOUT=0', 'stty cols 5000', 'uptime']
2024-01-03 23:02:04,981 T0006: [D2-V2] cat /proc/uptime
2024-01-03 23:02:05,006 T0005: [D1-V1] cat /proc/uptime
2024-01-03 23:02:05,647 T0006: [D2-V2] sudo vtysh -c 'show running-config | include hostname'
2024-01-03 23:02:05,671 T0005: [D1-V1] sudo vtysh -c 'show running-config | include hostname'
2024-01-03 23:02:11,831 T0006: [D2-V2] /sbin/ip link set dev eth0 up
2024-01-03 23:02:11,833 T0005: [D1-V1] /sbin/ip link set dev eth0 up
2024-01-03 23:02:12,514 T0005: [D1-V1] /sbin/ip route list dev eth0
2024-01-03 23:02:12,522 T0006: [D2-V2] /sbin/ip route list dev eth0
2024-01-03 23:02:13,202 T0005: [D1-V1] ['export TMOUT=0', 'stty cols 5000', 'uptime']
2024-01-03 23:02:13,204 T0006: [D2-V2] ['export TMOUT=0', 'stty cols 5000', 'uptime']
2024-01-03 23:02:15,343 T0006: [D2-V2] /sbin/ip link set dev eth0 up
2024-01-03 23:02:15,353 T0005: [D1-V1] /sbin/ip link set dev eth0 up
2024-01-03 23:02:16,005 T0006: [D2-V2] /sbin/ip route list dev eth0
2024-01-03 23:02:16,018 T0005: [D1-V1] /sbin/ip route list dev eth0
2024-01-03 23:02:17,336 T0006: [D2-V2] show version
2024-01-03 23:02:17,347 T0005: [D1-V1] show version
2024-01-03 23:02:19,524 T0006: [D2-V2] /sbin/ip link set dev eth0 up
2024-01-03 23:02:19,584 T0005: [D1-V1] /sbin/ip link set dev eth0 up
2024-01-03 23:02:20,189 T0006: [D2-V2] /sbin/ip route list dev eth0
2024-01-03 23:02:20,246 T0005: [D1-V1] /sbin/ip route list dev eth0
2024-01-03 23:02:22,340 T0006: [D2-V2] /sbin/ip link set dev eth0 up
2024-01-03 23:02:22,383 T0005: [D1-V1] /sbin/ip link set dev eth0 up
2024-01-03 23:02:23,006 T0006: [D2-V2] /sbin/ip route list dev eth0
2024-01-03 23:02:23,046 T0005: [D1-V1] /sbin/ip route list dev eth0
2024-01-03 23:03:32,326 T0009: [D1-V1] sudo show interfaces status
2024-01-03 23:03:32,330 T0010: [D2-V2] sudo show interfaces status
2024-01-03 23:03:34,405 T0009: [D1-V1] config interface startup Ethernet0
2024-01-03 23:03:34,542 T0010: [D2-V2] config interface startup Ethernet16
2024-01-03 23:03:35,824 T0009: [D1-V1] config interface startup Ethernet4
2024-01-03 23:03:35,965 T0010: [D2-V2] config interface startup Ethernet20
2024-01-03 23:03:37,196 T0009: [D1-V1] config interface startup Ethernet8
2024-01-03 23:03:37,389 T0010: [D2-V2] config interface startup Ethernet24
2024-01-03 23:03:38,516 T0009: [D1-V1] config interface startup Ethernet12
2024-01-03 23:03:38,914 T0010: [D2-V2] config interface startup Ethernet28
2024-01-03 23:03:40,138 T0009: [D1-V1] config interface startup Ethernet16
2024-01-03 23:03:40,386 T0010: [D2-V2] config interface startup Ethernet32
2024-01-03 23:03:41,457 T0009: [D1-V1] config interface startup Ethernet20
2024-01-03 23:03:41,859 T0010: [D2-V2] config interface startup Ethernet36
