#,Node,Module,TestFunction,Result,TimeTaken,ExecutedOn,Syslogs,FCLI,TSSH,DCNT,Description,Devices,KnownIssue,Doc
1,gw1,routing/BGP/test_bgp_4node.py,,,0:01:41,2023-12-25 22:45:25,0,1,0,4,Module Prolog,"V1, V2, V3, V4",,
2,gw1,routing/BGP/test_bgp_4node.py,TestBGPConfed.test_ipv6_confed_route_distribution,Pass,0:00:22,2023-12-25 22:45:40,0,1,0,4,Test case passed,"V1, V2, V3, V4",,
3,gw1,routing/BGP/test_bgp_4node.py,TestBGPConfed.test_ipv6_confed_with_rr,Pass,0:00:47,2023-12-25 22:46:27,0,1,0,4,Test case passed,"V1, V2, V3, V4",,
4,gw1,routing/BGP/test_bgp_4node.py,TestBGPConfed.test_confed_route_distribution_with_rmap,Pass,0:00:39,2023-12-25 22:47:05,0,1,0,4,Test case passed,"V1, V2, V3, V4",,
5,gw1,routing/BGP/test_bgp_4node.py,test_ft_bgp_ibgp_RR_Loop,Pass,0:00:37,2023-12-25 22:47:48,0,1,0,4,Test case passed,"V1, V2, V3, V4",,Verify the functioning of iBGP Route-Reflector cluster loop
6,gw1,routing/BGP/test_bgp_4node.py,test_ft_bgp_ebgp_community_map,Pass,0:04:18,2023-12-25 22:52:05,0,1,0,4,Test case passed,"V1, V2, V3, V4",,Verify the functioning of eBGP communities
7,gw1,routing/BGP/test_bgp_4node.py,,,0:00:33,2023-12-25 22:52:38,0,1,0,4,Module Epilog,"V1, V2, V3, V4",,
8,gw3,routing/BGP/test_bgp.py,,,0:03:49,2023-12-25 23:02:26,0,1,0,2,Module Prolog,"V3, V4",,
9,gw3,routing/BGP/test_bgp.py,TestBGPRif.test_ft_bgp_v6_link_local_bgp,Fail,0:04:44,2023-12-25 23:07:04,0,1,0,2,The operation is failed.,"V3, V4",,Verify that BGP peer session is established with v6 link local address
10,gw3,routing/BGP/test_bgp.py,TestBGPRif.test_ft_bgp_clear,Pass,0:00:14,2023-12-25 23:07:18,0,1,0,2,Test case passed,"V3, V4",,
11,gw3,routing/BGP/test_bgp.py,TestBGPRif.test_ft_bgp_peer_traffic_check,Pass,0:03:32,2023-12-25 23:10:50,0,1,0,2,Test case passed,"V3, V4",,
12,gw3,routing/BGP/test_bgp.py,TestBGPRif.test_ft_bgp_graceful_restart_and_aware_routers,Pass,0:00:13,2023-12-25 23:11:02,0,1,0,2,Test case passed,"V3, V4",,
13,gw3,routing/BGP/test_bgp.py,TestBGPRif.test_ft_bgp_ipv4_no_route_aggregation_for_exact_prefix_match,Pass,0:01:43,2023-12-25 23:12:45,0,1,0,2,Test case passed,"V3, V4",,
14,gw3,routing/BGP/test_bgp.py,TestBGPRif.test_ft_bgp_ipv4_route_aggregation_atomic_aggregate_without_as_set,Fail,0:01:42,2023-12-25 23:14:26,0,1,0,2,Test case Failed.,"V3, V4",,
15,gw3,routing/BGP/test_bgp.py,TestBGPRif.test_bgp_route_aggregation_4byteASN,Pass,0:01:21,2023-12-25 23:15:46,0,1,0,2,Test case passed,"V3, V4",,
16,gw3,routing/BGP/test_bgp.py,TestBGPRif.test_ft_bgp_ipv6_route_aggregation_with_as_set,Pass,0:01:03,2023-12-25 23:16:48,0,1,0,2,Test case passed,"V3, V4",,
17,gw3,routing/BGP/test_bgp.py,TestBGPRif.test_ft_bgp_v4_dyn_nbr,Pass,0:00:33,2023-12-25 23:17:21,0,1,0,2,Test case passed,"V3, V4",,Verify that BGP peering is formed with dynamic neighbors having 4btye ASN
18,gw3,routing/BGP/test_bgp.py,TestBGPRif.test_ft_bgp_v6_dyn_nbr,Pass,0:00:32,2023-12-25 23:17:52,0,1,0,2,Test case passed,"V3, V4",,Verify that ipv6 BGP peering is formed with dynamic neighbors
