Module Name,TC Pass Rate,TC Count,TC Pass,Sys Logs,CDT,FCLI,TSSH,DCNT,Prolog Time,Epilog Time,Func Time,Exec Time,Pass Rate,FCNT,Pass,Fail,Dut Fail,TGen Fail,Script Error,Not Supported,Config Fail,Env Fail,Dep Fail,Skipped,Timeout,Topo Fail,Node,TS
,77.27%,132,102,0,5:56:57,14,0,24,1:13:06,0:09:08,1:42:05,3:04:19,65.22%,69,45,22,0,0,1,1,0,0,0,0,0,0,,0
sanity/test_sanity_l3.py,0.00%,1,0,0,0:09:32,1,0,2,0:03:13,0:00:37,0:00:56,0:04:46,0.00%,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0
system/test_sflow.py,50.00%,4,2,0,0:21:26,1,0,2,0:03:31,0:00:35,0:06:37,0:10:43,33.33%,3,1,2,0,0,0,0,0,0,0,0,0,0,2,0
routing/BGP/test_bgp_4node.py,50.00%,6,3,0,0:37:16,1,0,4,0:01:50,0:00:36,0:06:53,0:09:19,40.00%,5,2,2,0,0,1,0,0,0,0,0,0,0,1,0
routing/BGP/test_bgp.py,69.23%,52,36,0,1:21:48,1,0,2,0:03:57,0:01:10,0:35:47,0:40:54,57.14%,35,20,14,0,0,0,1,0,0,0,0,0,0,2,0
routing/test_l3_performance.py,75.00%,8,6,0,0:05:19,1,0,1,0:00:50,0:00:38,0:03:51,0:05:19,66.67%,3,2,1,0,0,0,0,0,0,0,0,0,0,5,0
routing/test_ip.py,71.43%,21,15,0,0:23:48,1,0,2,0:03:37,0:00:52,0:07:25,0:11:54,71.43%,7,5,2,0,0,0,0,0,0,0,0,0,0,2,0
routing/VRF/test_vrf.py,100.00%,17,17,0,0:31:32,1,0,2,0:08:25,0:00:25,0:06:56,0:15:46,100.00%,5,5,0,0,0,0,0,0,0,0,0,0,0,3,0
routing/VRF/test_vrf_scale.py,100.00%,6,6,0,1:42:00,1,0,2,0:29:47,0:00:26,0:20:47,0:51:00,100.00%,4,4,0,0,0,0,0,0,0,0,0,0,0,3,0
routing/BGP/test_bgp_rr_traffic.py,100.00%,1,1,0,0:19:16,1,0,2,0:05:46,0:01:16,0:02:36,0:09:38,100.00%,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0
routing/NAT/test_nat.py,100.00%,3,3,0,0:02:36,1,0,1,0:01:12,0:00:38,0:00:46,0:02:36,100.00%,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0
system/test_device_mgmt.py,100.00%,1,1,0,0:01:17,1,0,1,0:00:29,0:00:25,0:00:23,0:01:17,100.00%,1,1,0,0,0,0,0,0,0,0,0,0,0,6,0
qos/test_qos_save_reboot.py,100.00%,8,8,0,0:11:21,1,0,1,0:03:04,0:00:28,0:07:49,0:11:21,100.00%,1,1,0,0,0,0,0,0,0,0,0,0,0,7,0
routing/test_ndp.py,100.00%,3,3,0,0:04:57,1,0,1,0:04:08,0:00:31,0:00:18,0:04:57,100.00%,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0
routing/test_arp.py,100.00%,1,1,0,0:04:49,1,0,1,0:03:17,0:00:31,0:01:01,0:04:49,100.00%,1,1,0,0,0,0,0,0,0,0,0,0,0,5,0
